  beer    | measure |    SMPH       |    Tinseth     |     Rager       |     Garetz      |     mIBU
-------------------------------------------------------------------------------------------------------
Jun. 2020 |  21.80  | 20.20 (-1.60) |  30.26 ( 8.46) |  39.45  (17.65) |  20.01  ( 1.79) |  23.53 ( 1.73)
Oct. 2019 |  28.60  | 23.42 (-5.18) |  32.80 ( 4.20) |  46.39  (17.79) |  24.52  (-4.08) |  26.43 (-2.17)
Dec. 2019 |  26.60  | 26.17 (-0.43) |  36.42 ( 9.82) |  46.06  (19.46) |  25.15  (-1.45) |  34.55 ( 7.95)
Sep. 2020 |  26.00  | 21.55 (-4.45) |  24.24 (-1.76) |  27.59  ( 1.59) |  14.16 (-11.84) |  25.24 (-0.76)
Jan. 2021 |  38.80  | 40.72 ( 1.92) |  59.32 (20.52) |  80.35  (41.55) |  47.28  ( 8.48) |  58.92 (20.12)
Jul. 2021 |  70.00  | 71.02 ( 1.02) | 140.47 (70.47) | 207.93 (137.93) |  98.14  (28.14) | 103.18 (33.18)
Taste1 A  |  20.20  | 19.43 (-0.77) |  21.06 ( 0.86) |  28.91  ( 8.71) |  12.86  (-7.34) |  23.23 ( 3.03)
Taste1 B  |  21.40  | 19.35 (-2.05) |  23.53 ( 2.13) |  24.90  ( 3.50) |   9.81 (-11.59) |  22.12 ( 0.72)
Taste1 C  |  21.20  | 19.72 (-1.48) |  26.13 ( 4.93) |  21.51  ( 0.31) |   7.35 (-13.85) |  25.13 ( 3.93)
Taste1 D  |  18.70  | 19.99 ( 1.29) |  27.75 ( 9.05) |  19.46  ( 0.76) |   8.79  (-9.91) |  27.97 ( 9.27)
Taste2 A  |  23.60  | 21.18 (-2.42) |  22.90 (-0.70) |  32.36  ( 8.76) |  14.05  (-9.55) |  25.11 ( 1.51)
Taste2 B  |  24.50  | 21.33 (-3.17) |  26.24 ( 1.74) |  28.20  ( 3.70) |  10.84 (-13.66) |  24.30 (-0.20)
Taste2 C  |  23.00  | 21.66 (-1.34) |  29.18 ( 6.18) |  24.18  ( 1.18) |   7.96 (-15.04) |  27.69 ( 4.69)
Taste2 D  |  22.80  | 22.59 (-0.21) |  31.91 ( 9.11) |  21.15  (-1.65) |  11.72 (-11.08) |  32.93 (10.13)
